,id,hour,source,number
155,39900,2.0,TruckSource18,9
156,39901,2.0,TruckSource19,10
157,39902,2.0,TruckSource20,11
158,39903,2.0,TruckSource21,10
159,39904,2.0,TruckSource22,9
160,39905,2.0,TruckSource23,10
161,39906,2.0,TruckSource24,10
162,39907,2.0,TruckSource25,7
163,39908,2.0,TruckSource26,7
164,39909,2.0,TruckSource27,10
165,39910,2.0,TruckSource28,10
166,39911,2.0,TruckSource29,12
167,39912,2.0,TruckSource30,9
168,39913,2.0,TruckSource31,12
169,39914,2.0,TruckSource32,8
170,39915,2.0,TruckSource33,9
171,39916,2.0,TruckSource34,8
172,39917,2.0,TruckSource35,11
173,39918,2.0,TruckSource36,10
174,39919,2.0,TruckSource37,3
175,39920,2.0,TruckSource38,3
176,39921,2.0,TruckSource39,3
177,39922,2.0,TruckSource40,4
178,39923,2.0,TruckSource41,4
179,39924,2.0,TruckSource42,3
180,39925,2.0,TruckSource43,3
181,39926,2.0,TruckSource44,5
182,39927,2.0,TruckSource45,4
183,39928,2.0,TruckSource46,3
184,39929,2.0,TruckSource47,3
185,39930,2.0,TruckSource48,4
186,39931,2.0,TruckSource49,3
187,39932,2.0,TruckSource50,3
188,39933,2.0,TruckSource51,5
189,39934,2.0,TruckSource52,6
190,39935,2.0,TruckSource53,5
191,39936,2.0,TruckSource54,6
192,39937,2.0,TruckSource55,3
193,39938,2.0,TruckSource56,2
194,39939,2.0,TruckSource57,2
195,39940,2.0,TruckSource58,2
196,39941,2.0,TruckSource59,3
197,39942,2.0,TruckSource60,1
198,39943,2.0,TruckSource61,2
199,39944,2.0,TruckSource62,1
200,39945,2.0,TruckSource63,2
201,39946,2.0,TruckSource64,1
202,39947,2.0,TruckSource65,2
203,39948,2.0,TruckSource66,2
204,39949,2.0,TruckSource67,1
205,39950,2.0,TruckSource68,1
206,39951,2.0,TruckSource69,2
207,39952,3.0,TruckSource1,18
208,39953,3.0,TruckSource2,16
209,39954,3.0,TruckSource3,10
210,39955,3.0,TruckSource4,10
211,39956,3.0,TruckSource5,18
212,39957,3.0,TruckSource6,19
213,39958,3.0,TruckSource7,18
214,39959,3.0,TruckSource8,15
215,39960,3.0,TruckSource9,15
216,39961,3.0,TruckSource10,15
217,39962,3.0,TruckSource11,14
218,39963,3.0,TruckSource12,12
219,39964,3.0,TruckSource13,14
220,39965,3.0,TruckSource14,12
221,39966,3.0,TruckSource15,13
222,39967,3.0,TruckSource16,13
223,39968,3.0,TruckSource17,15
224,39969,3.0,TruckSource18,14
225,39970,3.0,TruckSource19,14
226,39971,3.0,TruckSource20,15
227,39972,3.0,TruckSource21,15
228,39973,3.0,TruckSource22,14
229,39974,3.0,TruckSource23,15
230,39975,3.0,TruckSource24,15
231,39976,3.0,TruckSource25,10
232,39977,3.0,TruckSource26,11
233,39978,3.0,TruckSource27,14
234,39979,3.0,TruckSource28,14
235,39980,3.0,TruckSource29,17
236,39981,3.0,TruckSource30,14
237,39982,3.0,TruckSource31,18
238,39983,3.0,TruckSource32,11
239,39984,3.0,TruckSource33,12
240,39985,3.0,TruckSource34,11
241,39986,3.0,TruckSource35,17
242,39987,3.0,TruckSource36,15
243,39988,3.0,TruckSource37,5
244,39989,3.0,TruckSource38,5
245,39990,3.0,TruckSource39,4
246,39991,3.0,TruckSource40,5
247,39992,3.0,TruckSource41,5
248,39993,3.0,TruckSource42,5
249,39994,3.0,TruckSource43,4
250,39995,3.0,TruckSource44,6
251,39996,3.0,TruckSource45,6
252,39997,3.0,TruckSource46,4
253,39998,3.0,TruckSource47,5
254,39999,3.0,TruckSource48,5
255,40000,3.0,TruckSource49,4
256,40001,3.0,TruckSource50,5
257,40002,3.0,TruckSource51,8
258,40003,3.0,TruckSource52,8
259,40004,3.0,TruckSource53,8
260,40005,3.0,TruckSource54,9
261,40006,3.0,TruckSource55,4
262,40007,3.0,TruckSource56,3
263,40008,3.0,TruckSource57,3
264,40009,3.0,TruckSource58,3
265,40010,3.0,TruckSource59,4
266,40011,3.0,TruckSource60,2
267,40012,3.0,TruckSource61,2
268,40013,3.0,TruckSource62,2
269,40014,3.0,TruckSource63,2
270,40015,3.0,TruckSource64,2
271,40016,3.0,TruckSource65,2
272,40017,3.0,TruckSource66,2
273,40018,3.0,TruckSource67,2
274,40019,3.0,TruckSource68,2
275,40020,3.0,TruckSource69,2
276,40021,4.0,TruckSource1,22
277,40022,4.0,TruckSource2,22
278,40023,4.0,TruckSource3,13
279,40024,4.0,TruckSource4,14
280,40025,4.0,TruckSource5,24
